Name,Prices
Apple MacBook Air 11 / 13 inch | CUSTOMIZE | CORE i7 | OS2018 | 3 YEAR WARRANTY!,$519.00
"Apple Macbook Air 13.3"" Intel Core i3 8GB 256GB SSD Space Gray MWTJ2LL/A",$949.00
Apple MacBook Air (13-inch Early 2015) 1.6 GHz Intel core i5 256GB SSD 4GB RAM,$449.00
Macbook Air 13 inch 2015 -1.6 Ghz - 8 GB RAM - 256 GB SSD - Excellent Condition,$385.00
"Apple MacBook Air 13.3"" Laptop (2015, Silver)",$500.00
"Apple MacBook Air A1466 13.3"" Laptop - (Early 2015) i5, 4GB RAM, 256GB SSD",$310.00
"Apple MacBook Air MD223LL/A 11.6"" Laptop 4GB RAM 64GB SSD Intel Core i5 Mac OS",$379.99
"Apple MacBook Air Core i5 1.3GHz 4GB RAM 128GB SSD 11"" - MD711LL/A",$399.99
"MacBook Air 13.3"" - Mid 2017 A1466",$405.00
"Apple Macbook Air 13.3"" Touch ID Intel i5 8GB 128GB 2019 MVFH2LL/A Space Gray",$899.00
Apple MacBook Air 11.6 / 13.3 inch | CUSTOMIZE | CORE i7 | OS2019 | 3YR WARRANTY,$489.00
"Apple MacBook Air Core i5 1.6GHz 4GB RAM 128GB SSD 11"" A1465 - MJVM2LL/A",$539.97
"Apple MacBook Air A1466 Early 2015 13"" I5 5250U@1.6 GHz 4/8GB Ram 256GB SSD",$529.95
"Apple MacBook Air A1370 11.6"" Laptop - (Mid, 2011) 128GB SSD+4GB RAM Works good!",$207.50
"Apple MacBook Air A1466 13.3""  MJVE2LL/A Early 2015 Silver 1.6 GHz Intel i5",$299.00
"Apple MacBook Air 11"" 1.6GHz Intel Core i5 4GB RAM 250GB Flash Storage",$287.00
"Apple MacBook Air 2017 13"" Laptop - A1466 Core i5 1.8GHz 8GB 128GB SSD MQD32LL/A",$279.00
"2019 True Tone 13"" MacBook Air 1.6GHz i5/8GB RAM/128GB Flash/Space Gray",$829.00
"Apple MacBook Air MJVM2LL/A Core i5-5250U 1.6Ghz 4GB Ram 128GB SSD 11.6""",$210.00
Apple Macbook Air 11-inch Early 2015 1.6GHz Core i5 4GB RAM 128GB SSD,$400.00
"Macbook Air 13"" Mid 2012 i5 1.4 Ghz A1466 C2-MWWME - OK condition",$294.99
"Apple MacBook Air A1465 11.6"" Laptop - (2015, Silver), AC, 128GB, 4GB. 1.6GHz",$424.00
"Apple MacBook Air 13 A1466 2015  i5-5250U, 8GB RAM, 256GB SSD w/Adapter. Look :)",$300.00
"Apple MacBook Air 13.3in early 2015 i5 1.6ghz, 8gb ram, 256gb ssd ",$248.00
"Apple Macbook Air 13.3"" 8GB 256GB Silver MWTK2LL/A Latest 2020 Model",$949.99
Apple 13” MacBook AIR 2014 1.4 i5 128 SSD MD760LL/A A1466 *TESTED* - RK1909,$202.50
*Hold til pd Apple MacBook Air A1466 13” Intel i5 1.8GHz 256GB SSD 8GB MQD32LL/A,$429.99
"Great Condition Apple MacBook Air 13"" 2015 - (4 GB RAM, 128 GB SSD, 1.6 GHz i5)",$379.95
"Apple MacBook Air Silver Core i5 1.6 13"" Retina  (Late 2018) 8GB 128GB",$699.99
2013 13” 128 GB Apple MacBook Air *SEE DESCRIPTION*,$310.00
"Apple MacBook Air A1465 11.6"" Laptop - MD711LL/A (June, 2013)",$125.00
"Apple MacBook Air A1466 13.3"" Laptop - MJVE2LL/A (March, 2015, Silver)",$210.00
2017 Apple MacBook Air 13.3 Laptop 128GB MQD32LL/A 1.8GHz i5 8GB PRISTINE MINT✳️,$699.95
"Apple MacBook Air 13"" Laptop 2.2 Ghz Core i7 - 8 GB RAM - ( Early 2015)",$360.00
"Apple MacBook Air 13"" 2015 i7 2.2GHz 8GB 256GB SSD MJVE2LL/A GrdC 1 YR WARRANTY",$579.00
"Apple MacBook Air A1466 13.3"" Laptop - 8gb, 128gb Core i5 (June, 2013)",$182.00
"Apple MacBook Air w Touch 13.3"" MVFM2LL/A i5 128GB 8GB RAM Laptop Gold 2019",$899.66
"Macbook Air (11-inch, Early 2015) 1.6GHz 8GB RAM 128GB Hard Drive",$370.00
"Apple MacBook Air 2014 13.3"" Laptop - MD760LL/B Core i5 1.4GHz 8GB 256GB SSD",$182.50
"Apple Macbook Air 11.6"" 1.4 GHz Core i5 128 GB SSD, 4GB RAM - MD711LL/B",$399.99
"Apple MacBook Air 13 inch 1.6GHZ Core i5, 128 GB SSD, 8 GB RAM 2015 Model",$380.00
"Apple MacBook Air 13.3"" Intel Core i5 8GB 256GB SSD Silver MVFL2LL/A (July 2019)",$465.00
Apple MacBook Air A1466 13” 2017 128GB SSD i5 8GB ram USED,$399.00
Apple Macbook Air Intel Core i7 1.7GHz 11in 256GB 8GB A1465 2013 Laptop 01MB007,$489.95
APPLE MACBOOK AIR MD223LL/A-INTEL CORE i5 1.7GHZ 4GB RAM 64 GB SSD/scractch&dent,$299.89
"Apple MacBook Air Core i5 1.4GHz 4GB RAM 128GB SSD 13"" MD760LL/B",$469.99
Apple Macbook Air 13.3” Laptop MD760LL/B – Core i5 1.4Ghz – 4GB Ram – 128GB SSD,$249.99
Apple Macbook Air Intel Core i5 1.6GHz 13in 256GB 8GB A1466 MJVG2LL/A 01MB050,$539.95
"Apple MacBook Air A1466 13.3"" 128 GB MJVE2LL/A 2015 Brand New in Sealed Box ",$510.00
Apple 13” MacBook AIR 2017 1.8Ghz - 8GB - GREAT CONDITION - MQD32LL/A - RK1908,$490.00
2017 FANTASTIC MacBook Air 13 Core i5 4GB 128GB LAPTOP CATALINA +EXTRAS,$736.00
"Apple 2013 MacBook Air 13"" 1.3GHz I5 128GB SSD 4GB MD760LL/A + C Grade Warranty",$349.00
